#Table 1
#Sample Properties
#Redshift	sigma	R_e		log10(Ie,g)	log10(M*)	(g-z)rest D_n4000	
#()      (km s^-1)	(kpc)(pc^-2)	()			
0.218	199	6.83	2.35	11.25	1.42	1.86	
0.310	170	9.09	2.12	11.45	1.74	1.68	
0.346	290	16.00	1.96	11.68	1.47	1.73	
0.219	305	4.90	2.76	11.41	1.47	1.77	
0.349	254	6.24	2.55	11.40	1.44	1.67	
0.349	290	2.83	3.16	11.25	1.47	1.72	
0.345	359	7.22	2.40	11.65	1.64	1.67	
0.376	221	7.11	2.50	11.45	1.43	1.80	
0.228	233	6.48	2.50	11.42	1.43	1.86	
0.359	360	7.82	2.40	11.51	1.49	1.75	
0.220	196	3.99	2.92	11.30	1.39	1.78	
0.222	223	4.15	2.70	11.20	1.52	1.73	
0.349	269	7.53	2.54	11.53	1.44	1.75	
0.347	304	3.78	2.95	11.35	1.50	1.94	
0.347	252	6.86	2.52	11.67	1.59	1.74	
0.364	230	5.67	2.67	11.46	1.39	1.64	
0.696	300	3.87	3.22	11.45	1.28	1.68	
0.363	319	2.82	3.13	11.21	1.43	1.74	
0.308	233	8.03	2.29	11.39	1.46	1.86	
0.415	222	6.71	2.55	11.51	1.39	1.82	
0.578	254	3.71	3.15	11.60	1.44	1.85	
0.555	195	4.60	2.89	11.46	1.31	1.61	
0.436	251	6.41	2.65	11.50	1.31	1.65	
0.322	211	3.27	3.01	11.10	1.43	1.83	
0.348	249	4.57	2.66	11.14	1.41	1.77	
0.515	306	2.74	3.39	11.50	1.37	1.68	
0.680	405	3.28	3.32	11.05	1.12	1.69	
0.697	259	2.84	3.50	11.50	1.16	1.47	
0.530	261	4.85	2.82	11.45	1.40	1.83	
0.525	148	6.87	2.53	11.39	1.26	1.90	
0.670	107	3.17	3.38	11.24	1.17	1.53	
0.527	310	4.94	2.74	11.40	1.34	1.89	
0.361	277	4.38	2.71	11.30	1.50	1.85	
0.667	316	6.07	2.66	11.10	1.19	1.52	
0.520	173	3.21	3.00	11.05	1.26	1.68	
0.623	368	3.13	3.43	11.55	1.31	1.81	
0.561	218	3.82	3.23	11.19	1.14	1.55	
0.528	288	7.95	2.62	11.70	1.35	1.73	
0.361	235	3.91	2.78	11.30	1.54	1.64	
0.360	234	3.69	2.94	11.30	1.37	1.65	
0.352	344	4.30	2.64	11.24	1.64	1.79	
0.220	267	4.21	2.78	11.30	1.43	1.75	
0.528	269	9.05	2.39	11.40	1.23	1.59	
0.425	236	3.82	2.76	11.20	1.37	1.56	
0.348	297	5.05	2.65	11.45	1.48	1.79	
0.265	225	4.98	2.68	11.35	1.51	1.68	
0.425	253	9.81	2.29	11.55	1.40	1.83	
0.531	84	3.83	2.79	11.21	1.36	1.75	
0.746	255	7.99	2.85	11.75	1.30	1.51	
0.350	295	4.01	2.76	11.38	1.53	1.74	
0.528	227	5.58	2.68	11.45	1.36	1.75	
0.662	328	3.89	3.12	11.25	1.27	1.55	
0.526	123	5.54	2.56	11.16	1.26	1.65	
0.467	265	4.22	2.94	11.44	1.29	1.79	
0.467	292	6.49	2.71	11.55	1.51	1.79	
0.631	322	1.18	4.23	11.60	1.39	1.65	
0.532	186	3.33	3.12	11.33	1.25	1.74	
0.516	138	4.39	2.85	11.26	1.29	1.59	
0.362	218	3.01	3.05	11.20	1.41	1.66	
0.502	299	6.46	2.85	11.67	1.31	1.76	
0.569	301	6.62	2.75	11.60	1.37	1.50	
0.595	262	3.26	3.23	11.41	1.39	1.49	
0.530	199	4.04	2.87	11.29	1.33	1.67	
0.535	186	11.03	2.14	11.45	1.51	1.49	
0.536	191	5.11	2.74	11.40	1.34	1.72	
0.378	207	2.19	3.06	11.05	1.49	1.62	
0.482	130	3.20	2.89	10.93	1.32	1.46	
0.412	259	4.46	2.62	11.20	1.35	1.70	
0.487	207	10.28	2.07	11.20	1.31	1.61	
0.492	269	5.89	2.66	11.54	1.37	1.66	
0.270	144	4.19	2.34	10.57	1.34	1.93	
0.477	219	7.37	2.42	11.43	1.32	1.62	
0.492	288	5.63	2.71	11.37	1.35	1.77	
0.550	272	2.71	3.41	11.12	1.20	1.59	
0.351	241	6.42	2.50	11.15	1.41	1.68	
0.667	286	3.97	3.04	11.27	1.28	1.68	
0.502	243	13.38	2.19	11.65	1.36	1.77	
0.517	283	3.60	2.99	11.32	1.38	1.81	
0.517	228	3.14	3.14	11.38	1.33	1.67	
0.518	191	10.90	2.02	11.25	1.28	1.85	
0.267	275	4.71	2.60	11.32	1.56	1.80	
0.654	358	2.42	3.46	11.24	1.24	1.72	
0.463	210	3.89	2.84	11.24	1.31	1.59	
